Zeiten gesamt;Vorbereitungsszeit;Inferenzzeit;Verarbeitungszeit;Groesse;Name;Modell
7.118694;0.654990;6.161784;0.056725;73668; image50;Faster-R-CNN ResNet101 V1
7.899652;0.598840;6.856131;0.084179;141496; image51;Faster-R-CNN ResNet101 V1
8.886317;0.970378;7.487115;0.080187;79983; image52;Faster-R-CNN ResNet101 V1
11.494565;1.042255;10.213058;0.044808;74288; image53;Faster-R-CNN ResNet101 V1
8.894396;0.938170;7.556136;0.075782;93590; image54;Faster-R-CNN ResNet101 V1
8.304254;0.531645;7.347744;0.080379;66215; image55;Faster-R-CNN ResNet101 V1
9.157551;0.755838;7.976830;0.079910;78282; image56;Faster-R-CNN ResNet101 V1
9.640726;0.658509;8.568685;0.077874;66992; image57;Faster-R-CNN ResNet101 V1
10.302962;1.330205;8.479662;0.093306;77841; image58;Faster-R-CNN ResNet101 V1
7.914224;0.615384;6.822930;0.089647;74031; image59;Faster-R-CNN ResNet101 V1
8.253745;0.533125;7.342822;0.071273;54085; image60;Faster-R-CNN ResNet101 V1
12.514696;0.552600;11.740234;0.041409;40951; image61;Faster-R-CNN ResNet101 V1
8.265117;1.126539;6.830772;0.057962;99265; image62;Faster-R-CNN ResNet101 V1
7.749114;0.610551;6.875826;0.049647;92587; image63;Faster-R-CNN ResNet101 V1
6.666145;0.609216;5.774140;0.053116;161943; image64;Faster-R-CNN ResNet101 V1
7.477221;0.597517;6.377353;0.094945;139815; image65;Faster-R-CNN ResNet101 V1
7.339061;0.581027;6.261736;0.093461;80058; image66;Faster-R-CNN ResNet101 V1
7.211493;0.372122;6.466593;0.070371;94473; image67;Faster-R-CNN ResNet101 V1
7.201356;0.565540;6.021150;0.116450;175845; image68;Faster-R-CNN ResNet101 V1
7.277740;0.625284;6.365479;0.053719;297356; image69;Faster-R-CNN ResNet101 V1
9.427610;0.613812;8.389414;0.080262;135926; image70;Faster-R-CNN ResNet101 V1
10.013586;1.200290;8.417309;0.074392;124688; image71;Faster-R-CNN ResNet101 V1
7.181609;0.578009;6.293204;0.058653;82471; image72;Faster-R-CNN ResNet101 V1
7.005191;0.301181;6.235816;0.088425;29442; image73;Faster-R-CNN ResNet101 V1
7.210108;0.666677;6.273390;0.050671;63365; image74;Faster-R-CNN ResNet101 V1
6.901864;0.615117;5.979000;0.058174;114981; image75;Faster-R-CNN ResNet101 V1
7.065521;0.576068;6.105393;0.072451;155326; image76;Faster-R-CNN ResNet101 V1
7.093573;0.559509;6.133821;0.075644;186154; image77;Faster-R-CNN ResNet101 V1
7.192351;0.596620;6.310061;0.053976;81337; image78;Faster-R-CNN ResNet101 V1
6.793894;0.600783;5.827897;0.068805;117545; image79;Faster-R-CNN ResNet101 V1
9.265893;0.598370;8.169402;0.093580;75280; image80;Faster-R-CNN ResNet101 V1
11.736589;1.072093;10.180175;0.091636;107835; image81;Faster-R-CNN ResNet101 V1
9.133416;1.068758;7.574144;0.092753;189529; image82;Faster-R-CNN ResNet101 V1
6.801817;0.588086;5.832425;0.072084;94812; image83;Faster-R-CNN ResNet101 V1
7.061339;0.864937;5.807995;0.073703;90540; image84;Faster-R-CNN ResNet101 V1
6.082338;0.392657;5.402982;0.054164;99165; image85;Faster-R-CNN ResNet101 V1
6.965166;0.558666;6.044126;0.068034;78502; image86;Faster-R-CNN ResNet101 V1
